Month,Ridership,t,Season
Jan-91,1709,1,Jan
Feb-91,1621,2,Feb
Mar-91,1973,3,Mar
Apr-91,1812,4,Apr
May-91,1975,5,May
Jun-91,1862,6,Jun
Jul-91,1940,7,Jul
Aug-91,2013,8,Aug
Sep-91,1596,9,Sep
Oct-91,1725,10,Oct
Nov-91,1676,11,Nov
Dec-91,1814,12,Dec
Jan-92,1615,13,Jan
Feb-92,1557,14,Feb
Mar-92,1891,15,Mar
Apr-92,1956,16,Apr
May-92,1885,17,May
Jun-92,1623,18,Jun
Jul-92,1903,19,Jul
Aug-92,1997,20,Aug
Sep-92,1704,21,Sep
Oct-92,1810,22,Oct
Nov-92,1862,23,Nov
Dec-92,1875,24,Dec
Jan-93,1705,25,Jan
Feb-93,1619,26,Feb
Mar-93,1837,27,Mar
Apr-93,1957,28,Apr
May-93,1917,29,May
Jun-93,1882,30,Jun
Jul-93,1933,31,Jul
Aug-93,1996,32,Aug
Sep-93,1673,33,Sep
Oct-93,1753,34,Oct
Nov-93,1720,35,Nov
Dec-93,1734,36,Dec
Jan-94,1563,37,Jan
Feb-94,1574,38,Feb
Mar-94,1903,39,Mar
Apr-94,1834,40,Apr
May-94,1831,41,May
Jun-94,1776,42,Jun
Jul-94,1868,43,Jul
Aug-94,1907,44,Aug
Sep-94,1686,45,Sep
Oct-94,1779,46,Oct
Nov-94,1776,47,Nov
Dec-94,1783,48,Dec
Jan-95,1548,49,Jan
Feb-95,1497,50,Feb
Mar-95,1798,51,Mar
Apr-95,1733,52,Apr
May-95,1772,53,May
Jun-95,1761,54,Jun
Jul-95,1792,55,Jul
Aug-95,1875,56,Aug
Sep-95,1571,57,Sep
Oct-95,1647,58,Oct
Nov-95,1673,59,Nov
Dec-95,1657,60,Dec
Jan-96,1382,61,Jan
Feb-96,1361,62,Feb
Mar-96,1559,63,Mar
Apr-96,1608,64,Apr
May-96,1697,65,May
Jun-96,1693,66,Jun
Jul-96,1836,67,Jul
Aug-96,1943,68,Aug
Sep-96,1551,69,Sep
Oct-96,1687,70,Oct
Nov-96,1576,71,Nov
Dec-96,1700,72,Dec
Jan-97,1397,73,Jan
Feb-97,1372,74,Feb
Mar-97,1708,75,Mar
Apr-97,1655,76,Apr
May-97,1763,77,May
Jun-97,1776,78,Jun
Jul-97,1934,79,Jul
Aug-97,2008,80,Aug
Sep-97,1616,81,Sep
Oct-97,1774,82,Oct
Nov-97,1732,83,Nov
Dec-97,1797,84,Dec
Jan-98,1570,85,Jan
Feb-98,1413,86,Feb
Mar-98,1755,87,Mar
Apr-98,1825,88,Apr
May-98,1843,89,May
Jun-98,1826,90,Jun
Jul-98,1968,91,Jul
Aug-98,1922,92,Aug
Sep-98,1670,93,Sep
Oct-98,1791,94,Oct
Nov-98,1817,95,Nov
Dec-98,1847,96,Dec
Jan-99,1599,97,Jan
Feb-99,1549,98,Feb
Mar-99,1832,99,Mar
Apr-99,1840,100,Apr
May-99,1846,101,May
Jun-99,1865,102,Jun
Jul-99,1966,103,Jul
Aug-99,1949,104,Aug
Sep-99,1607,105,Sep
Oct-99,1804,106,Oct
Nov-99,1850,107,Nov
Dec-99,1836,108,Dec
Jan-00,1542,109,Jan
Feb-00,1617,110,Feb
Mar-00,1920,111,Mar
Apr-00,1971,112,Apr
May-00,1992,113,May
Jun-00,2010,114,Jun
Jul-00,2054,115,Jul
Aug-00,2097,116,Aug
Sep-00,1824,117,Sep
Oct-00,1977,118,Oct
Nov-00,1981,119,Nov
Dec-00,2000,120,Dec
Jan-01,1683,121,Jan
Feb-01,1663,122,Feb
Mar-01,2008,123,Mar
Apr-01,2024,124,Apr
May-01,2047,125,May
Jun-01,2073,126,Jun
Jul-01,2127,126,Jul
Aug-01,2203,128,Aug
Sep-01,1708,129,Sep
Oct-01,1951,130,Oct
Nov-01,1974,131,Nov
Dec-01,1985,132,Dec
Jan-02,1760,133,Jan
Feb-02,1771,134,Feb
Mar-02,2020,134,Mar
Apr-02,2048,136,Apr
May-02,2069,137,May
Jun-02,1994,138,Jun
Jul-02,2075,139,Jul
Aug-02,2027,140,Aug
Sep-02,1734,141,Sep
Oct-02,1917,142,Oct
Nov-02,1858,143,Nov
Dec-02,1996,144,Dec
Jan-03,1778,145,Jan
Feb-03,1749,146,Feb
Mar-03,2066,147,Mar
Apr-03,2099,148,Apr
May-03,2105,149,May
Jun-03,2130,150,Jun
Jul-03,2223,151,Jul
Aug-03,2174,152,Aug
Sep-03,1931,153,Sep
Oct-03,2121,154,Oct
Nov-03,2076,155,Nov
Dec-03,2141,156,Dec
Jan-04,1832,157,Jan
Feb-04,1838,158,Feb
Mar-04,2132,159,Mar
